Refactoring Type	Source Method	Target Class
Move Method	org.gjt.sp.jedit.jEdit::reloadModes():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::openFile(org.gjt.sp.jedit.View, java.lang.String, java.lang.String, boolean, java.util.Hashtable):org.gjt.sp.jedit.Buffer 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::openTemporary(org.gjt.sp.jedit.View, java.lang.String, java.lang.String, boolean):org.gjt.sp.jedit.Buffer 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::closeBuffer(org.gjt.sp.jedit.View, org.gjt.sp.jedit.Buffer):boolean 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::_closeBuffer(org.gjt.sp.jedit.View, org.gjt.sp.jedit.Buffer):void 	 org.gjt.sp.jedit.io.VFSManager
Move Method	org.gjt.sp.jedit.jEdit::closeAllBuffers(org.gjt.sp.jedit.View, boolean):boolean 	 org.gjt.sp.jedit.textarea.DisplayManager
Move Method	org.gjt.sp.jedit.jEdit::saveAllBuffers(org.gjt.sp.jedit.View, boolean):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::reloadAllBuffers(org.gjt.sp.jedit.View, boolean):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::_getBuffer(java.lang.String):org.gjt.sp.jedit.Buffer 	 org.gjt.sp.jedit.io.VFSManager
Move Method	org.gjt.sp.jedit.jEdit::getBuffer(java.lang.String):org.gjt.sp.jedit.Buffer 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::newView(org.gjt.sp.jedit.View, org.gjt.sp.jedit.Buffer, org.gjt.sp.jedit.View.ViewConfig):org.gjt.sp.jedit.View 	 org.gjt.sp.jedit.gui.DockableWindowManager
Move Method	org.gjt.sp.jedit.jEdit::backupSettingsFile(java.io.File):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::saveSettings():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::exit(org.gjt.sp.jedit.View, boolean):void 	 org.gjt.sp.jedit.io.VFSManager
Move Method	org.gjt.sp.jedit.jEdit::loadMode(org.gjt.sp.jedit.Mode):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::initMisc():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::initSiteProperties():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::initPlugins():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::initUserProperties():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::finishStartup(boolean, boolean, java.lang.String, java.lang.String[]):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::loadModeCatalog(java.lang.String, boolean):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Macros::showRunScriptDialog(org.gjt.sp.jedit.View):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::runScript(org.gjt.sp.jedit.View, java.lang.String, boolean):void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.Macros::message(java.awt.Component, java.lang.String):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::error(java.awt.Component, java.lang.String):void 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::input(java.awt.Component, java.lang.String):java.lang.String 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::confirm(java.awt.Component, java.lang.String, int):int 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.Macros::confirm(java.awt.Component, java.lang.String, int, int):int 	 org.gjt.sp.jedit.GUIUtilities
